rowId,family,status,ordinaryOrMeta,bucket,likelyOwningTask,representativeAssetOrRule,notes,sourceRcid,sourceLookupId,geometryType,tableName,ruleId,reasons
######|Area|Plain|0|32036,######,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_DASH_1_CHMGD,object acronym is internal/meta and still carries degraded status,32036,0,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
######|Area|Symbolized|340|32375,######,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_DASH_1_CHMGD,object acronym is internal/meta and still carries degraded status,32375,340,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
######|Line|Lines|687|31763,######,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,QUESMRK1,object acronym is internal/meta and still carries degraded status,31763,687,Line,Lines,,compiler_missing_lookup_row;scene_harness_not_covered
######|Point|Paper|1711|30000,######,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,QUESMRK1,object acronym is internal/meta and still carries degraded status,30000,1711,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
######|Point|Simplified|960|31012,######,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,QUESMRK1,object acronym is internal/meta and still carries degraded status,31012,960,Point,Simplified,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|312|32347,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_2_CHGRD,object acronym is internal/meta and still carries degraded status,32347,312,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|313|32348,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRDEL1,object acronym is internal/meta and still carries degraded status,32348,313,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|314|32349,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRID01,object acronym is internal/meta and still carries degraded status,32349,314,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|315|32350,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DIAMOND1,object acronym is internal/meta and still carries degraded status,32350,315,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|316|32351,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OVERSC01,object acronym is internal/meta and still carries degraded status,32351,316,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|317|32352,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_DASH_1_CHGRD,object acronym is internal/meta and still carries degraded status,32352,317,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|318|32353,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32353,318,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|319|32354,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32354,319,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|320|32355,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32355,320,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|321|32356,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32356,321,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|322|32357,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32357,322,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|323|32358,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32358,323,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|324|32359,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32359,324,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|325|32360,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32360,325,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
